customer_id,first_name,last_name,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
8303,Ashley,Mcgee,Denmark,45,Male,119298,55,29,133,36,98904,992,100,1000,5000,500,50000,1
9390,Nicole,Lyons,Hungary,74,Female,109018,78,24,264,49,86489,982,100,1000,5000,500,50000,1
7622,Chad,Day,Slovakia (Slovak Republic),28,Male,47970,39,8,235,39,93816,998,100,1000,5000,500,50000,0
8686,Alejandro,Blackburn,Russian Federation,50,Male,135485,71,35,329,33,95065,997,100,1000,5000,500,50000,1
5978,Timothy,Griffin,Finland,32,Male,73990,7,11,242,43,92525,995,100,1000,5000,500,50000,0
4477,Rebecca,Moreno,Ukraine,47,Male,22069,32,9,191,38,94947,998,100,1000,5000,500,50000,0
4052,Alice,Reed,Nepal,24,Male,59738,5,4,97,10,42899,697,90,974,4944,500,49921,1
7043,Matthew,Mills,Slovenia,51,Male,34227,40,3,162,23,78667,972,100,1000,5000,500,50000,1
2592,Anthony,Terry,Trinidad and Tobago,77,Male,70605,23,26,300,45,92805,991,100,1000,5000,500,50000,1
6032,Dale,Simmons,Togo,23,Female,104128,7,38,177,32,92617,999,100,1000,5000,500,50000,0
1520,Derrick,Clark,Canada,24,Male,112431,74,4,199,30,88587,997,100,1000,5000,500,50000,0
9705,Nathaniel,Cline,Korea,60,Female,101919,12,40,322,26,83983,987,100,1000,5000,500,50000,1
3761,Amanda,Allen,Switzerland,20,Male,124780,73,24,170,45,93974,991,100,1000,5000,500,50000,1
8478,Cathy,Sanchez,Mongolia,40,Female,112309,40,35,307,36,95679,997,100,1000,5000,500,50000,1
8385,Nicole,Smith,Ghana,57,Female,30112,48,8,162,33,93953,998,100,1000,5000,500,50000,0
8888,Michelle,Martinez,Solomon Islands,50,Male,130382,38,4,141,21,75829,959,99,1000,5000,500,50000,1
2394,Cassidy,Gomez,San Marino,32,Male,23823,10,40,155,25,83694,986,100,1000,5000,500,50000,1
2530,Jacob,Cline,Peru,67,Male,33004,44,16,228,48,88124,987,100,1000,5000,500,50000,1
3464,Michael,Lewis,Italy,57,Female,119264,6,6,336,25,85173,988,100,1000,5000,500,50000,1
3388,Jeffrey,Alvarez,Andorra,76,Female,53022,7,14,126,33,97694,993,100,1000,5000,500,50000,0
5710,Stacy,Farmer,Guyana,68,Male,38555,27,6,133,24,82195,980,100,1000,5000,500,50000,1
6253,Susan,Delgado,Mayotte,32,Male,73104,9,19,242,50,85756,981,100,1000,5000,500,50000,1
4953,Tonya,Werner,Malta,30,Male,73482,25,7,191,35,93751,999,100,1000,5000,500,50000,0
7438,Jennifer,Fischer,Guam,31,Male,47203,37,20,329,41,97800,991,100,1000,5000,500,50000,1
9901,Wendy,Smith,Moldova,69,Male,57355,67,17,184,45,92430,991,100,1000,5000,500,50000,1
7383,James,Mason,Maldives,41,Female,125000,55,2,90,3,12734,254,44,628,4036,462,46897,1
5261,Brandon,Johnson,Congo,18,Female,133428,66,25,358,34,99778,990,100,1000,5000,500,50000,1
9466,Whitney,Wilson,Equatorial Guinea,32,Male,126607,27,24,285,48,89605,988,100,1000,5000,500,50000,1
8210,Michael,Lopez,Spain,40,Female,66648,10,28,358,33,98786,992,100,1000,5000,500,50000,1
8007,Alicia,Blake,Uzbekistan,46,Male,107684,6,22,191,48,89746,988,100,1000,5000,500,50000,1
2256,Bonnie,Stein,Fiji,51,Female,45034,16,9,112,23,83754,981,100,1000,5000,500,50000,1
6380,Jane,Ryan,Burkina Faso,74,Male,87795,57,17,329,40,98053,992,100,1000,5000,500,50000,1
4314,Carrie,Lindsey,Pakistan,36,Male,96433,44,18,235,49,86351,983,100,1000,5000,500,50000,1
7885,Scott,Garcia,Mauritania,69,Male,116537,60,15,126,34,98416,992,100,1000,5000,500,50000,1
7299,Gerald,Luna,American Samoa,23,Male,140733,6,31,343,34,97946,994,100,1000,5000,500,50000,0
8936,Debra,Meza,Ukraine,34,Male,29387,66,32,177,41,95522,995,100,1000,5000,500,50000,1
3418,Aaron,Lee,Gabon,41,Female,35213,11,12,184,41,95070,995,100,1000,5000,500,50000,0
2196,Sandra,Jones,China,53,Male,104373,39,12,148,35,97305,995,100,1000,5000,500,50000,0
6612,Samuel,Quinn,Saudi Arabia,43,Male,22211,21,1,112,7,29787,532,78,914,4835,498,49560,1
6612,Samuel,Quinn,Saudi Arabia,43,Male,22211,47,34,293,40,95236,996,100,1000,5000,500,50000,1
4019,Darlene,Rodriguez,China,66,Male,104111,75,9,285,38,94907,998,100,1000,5000,500,50000,1
1432,Rachel,Pacheco,Saint Barthelemy,39,Male,109061,13,7,300,33,93392,999,100,1000,5000,500,50000,0
4452,Regina,Taylor,Paraguay,19,Female,55819,65,29,177,44,94274,993,100,1000,5000,500,50000,1
3359,Gary,Marshall,Iceland,39,Female,36656,53,2,278,26,81541,983,100,1000,5000,500,50000,1
6274,Michelle,Rogers,Cuba,27,Male,116502,64,15,141,37,98614,992,100,1000,5000,500,50000,1
5588,Tonya,Schmidt,Nigeria,22,Male,43656,26,26,119,34,99491,990,100,1000,5000,500,50000,1
2068,Jacob,Rios,Georgia,50,Female,80138,6,5,141,23,80738,976,100,1000,5000,500,50000,1
7557,David,Dawson,Rwanda,29,Female,24035,40,39,112,17,68013,916,99,999,4997,500,49999,1
8099,Carolyn,Gutierrez,China,47,Female,87016,34,28,206,47,89414,988,100,1000,5000,500,50000,1
8490,April,Martin,Luxembourg,25,Female,126272,71,19,133,38,99559,990,100,1000,5000,500,50000,1
5845,Ian,Adams,Antigua and Barbuda,48,Male,104001,74,24,141,39,98911,991,100,1000,5000,500,50000,1
1605,James,Waters,Mongolia,80,Male,143711,6,14,336,36,98282,993,100,1000,5000,500,50000,0
5642,Neil,Larson,Marshall Islands,59,Male,38231,75,27,235,49,86582,983,100,1000,5000,500,50000,1
2068,Jacob,Rios,Georgia,50,Female,80138,47,38,249,37,93291,999,100,1000,5000,500,50000,0
6612,Samuel,Quinn,Saudi Arabia,43,Male,22211,16,2,133,15,58594,854,97,996,4989,500,49995,1
2371,Aaron,Greene,Christmas Island,65,Female,91993,14,13,112,28,93602,993,100,1000,5000,500,50000,0
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26,Male,121168,5,40,141,22,78812,970,100,1000,5000,500,50000,1
5108,Christina,Green,El Salvador,53,Male,137382,40,34,264,42,93369,996,100,1000,5000,500,50000,1
4689,James,Huber,Solomon Islands,34,Female,78318,55,14,155,39,97545,994,100,1000,5000,500,50000,1
5054,Alicia,Navarro,Iran,54,Male,131137,6,12,155,37,97202,995,100,1000,5000,500,50000,0
2992,Charles,Stephenson,Angola,70,Female,56332,71,39,314,29,88899,996,100,1000,5000,500,50000,1
5802,Stephanie,Henson,Saudi Arabia,44,Male,85247,52,19,155,42,96910,992,100,1000,5000,500,50000,1
5838,Michelle,Robles,Belgium,22,Male,148634,47,10,220,42,93526,996,100,1000,5000,500,50000,0
7534,Rachel,Harris,Congo,47,Male,137757,36,37,285,36,94186,999,100,1000,5000,500,50000,0
4600,Gloria,Adams,Tonga,49,Male,34084,5,20,170,45,94072,992,100,1000,5000,500,50000,0
5953,Kayla,Kim,Jamaica,80,Female,24683,70,27,358,34,99234,991,100,1000,5000,500,50000,1
2494,Terri,Ballard,Kuwait,53,Male,114748,77,26,170,44,94368,992,100,1000,5000,500,50000,1
7180,Donna,Williams,Norfolk Island,25,Female,100468,17,9,329,32,94275,997,100,1000,5000,500,50000,0
3164,James,Beasley,Venezuela,52,Female,75189,11,17,322,41,97079,992,100,1000,5000,500,50000,0
5402,Robert,Meza,Saint Vincent and the Grenadines,46,Female,103037,27,23,170,45,93911,991,100,1000,5000,500,50000,1
6548,Robert,Wagner,Wallis and Futuna,52,Female,43777,27,33,314,38,96661,995,100,1000,5000,500,50000,1
4064,Jennifer,Wright,Guinea-Bissau,46,Male,116165,76,12,191,42,94376,995,100,1000,5000,500,50000,1
9112,Margaret,Swanson,Jersey,63,Male,144963,63,7,242,37,93595,999,100,1000,5000,500,50000,0
2266,Laura,Navarro,Reunion,66,Female,77406,11,30,271,46,90859,991,100,1000,5000,500,50000,1
5936,Taylor,Greer,Kuwait,75,Male,48788,67,30,365,30,96036,993,100,1000,5000,500,50000,1
5978,Timothy,Griffin,Finland,32,Male,73990,26,1,170,20,69292,930,99,999,4998,500,50000,1
9390,Nicole,Lyons,Hungary,74,Female,109018,72,39,199,33,91959,1000,100,1000,5000,500,50000,1
1425,Michelle,Collins,Morocco,76,Female,64011,54,22,300,46,92287,990,100,1000,5000,500,50000,1
1419,Brian,Sanders,Bosnia and Herzegovina,43,Female,51580,6,34,285,40,94736,996,100,1000,5000,500,50000,0
9096,Kathryn,Gentry,Sweden,73,Female,119217,22,26,271,48,88052,986,100,1000,5000,500,50000,1
1528,Frank,Wallace,Sri Lanka,77,Male,141247,45,29,119,32,98052,992,100,1000,5000,500,50000,1
5937,James,Ross,Nepal,63,Female,71972,73,24,278,48,88404,986,100,1000,5000,500,50000,1
9405,Jorge,Marshall,Antarctica (the territory South of 60 deg S),28,Female,143481,29,33,307,39,96210,996,100,1000,5000,500,50000,1
7205,Douglas,Bennett,Palestinian Territory,42,Female,41810,31,32,278,43,93139,994,100,1000,5000,500,50000,1
4152,Jennifer,Clark,Eritrea,52,Female,122405,59,1,191,23,75096,960,100,1000,5000,500,50000,1
6798,Margaret,Grant,Antarctica (the territory South of 60 deg S),62,Female,130298,26,18,213,48,87701,985,100,1000,5000,500,50000,1
5579,Ann,Harding,Tunisia,42,Male,23694,77,39,177,31,90635,998,100,1000,5000,500,50000,1
5437,Jesus,Wood,Guyana,27,Male,148410,72,29,126,34,98719,992,100,1000,5000,500,50000,1
8126,Rebecca,Bernard,Chile,40,Female,40502,33,3,141,19,70000,931,99,999,4998,500,50000,1
4042,Chad,Bernard,Cook Islands,18,Male,138250,5,26,126,36,99725,990,100,1000,5000,500,50000,0
3052,Jennifer,Gomez,Greece,59,Male,114649,25,20,191,47,89935,988,100,1000,5000,500,50000,1
5115,Stephanie,Kaufman,Kiribati,60,Male,33258,6,28,199,47,90362,990,100,1000,5000,500,50000,1
1041,Austin,Simmons,Finland,79,Male,75946,25,30,155,39,97479,993,100,1000,5000,500,50000,0
1610,Denise,Harris,Burundi,60,Male,131130,51,30,300,43,94591,994,100,1000,5000,500,50000,1
7135,Robin,Eaton,Montenegro,64,Male,26989,66,11,213,43,93277,995,100,1000,5000,500,50000,1
6544,Susan,Harper,Solomon Islands,31,Female,99147,15,36,249,40,93719,998,100,1000,5000,500,50000,0
4953,Tonya,Werner,Malta,30,Male,73482,55,14,90,23,85722,982,100,1000,5000,500,50000,1
2266,Laura,Navarro,Reunion,66,Female,77406,21,24,133,38,99617,990,100,1000,5000,500,50000,0
3346,Courtney,Morgan,Bangladesh,49,Male,29630,55,35,293,38,95213,997,100,1000,5000,500,50000,1
1041,Austin,Simmons,Finland,79,Male,75946,53,22,329,41,97750,991,100,1000,5000,500,50000,1
9360,Crystal,Whitaker,Costa Rica,40,Female,47063,32,15,256,47,89353,989,100,1000,5000,500,50000,1
3464,Michael,Lewis,Italy,57,Female,119264,27,14,133,34,98206,993,100,1000,5000,500,50000,0
5054,Alicia,Navarro,Iran,54,Male,131137,78,19,358,34,99675,990,100,1000,5000,500,50000,1
8834,Benjamin,Marshall,China,53,Female,71015,23,13,206,44,92344,993,100,1000,5000,500,50000,0
3113,Amy,Garcia,Maldives,77,Female,89647,75,5,162,27,86941,993,100,1000,5000,500,50000,1
6312,Justin,Morrison,Gambia,56,Male,110806,62,22,119,34,99902,990,100,1000,5000,500,50000,1
1480,Sheila,Leon,Saint Kitts and Nevis,51,Female,141408,11,2,155,20,70349,934,99,999,4998,500,50000,1
6341,Shannon,Gomez,Chile,67,Female,23366,54,13,162,39,96927,994,100,1000,5000,500,50000,0
5261,George,Torres,Montserrat,49,Female,49662,42,30,271,46,90859,991,100,1000,5000,500,50000,1
1027,Michael,Knox,Barbados,80,Female,97634,61,25,191,47,90028,988,100,1000,5000,500,50000,1
1258,Warren,Wagner,Saint Pierre and Miquelon,23,Female,28263,78,20,256,49,85998,981,100,1000,5000,500,50000,1
4180,Tammy,Browning,Romania,74,Female,109081,75,33,148,35,96982,995,100,1000,5000,500,50000,1
4510,Louis,Reeves,Germany,41,Female,94347,35,8,206,38,94279,998,100,1000,5000,500,50000,0
8921,Kenneth,Hart,Korea,53,Male,92256,24,37,97,17,67887,913,99,999,4997,500,49999,1
5802,Johnny,Fisher,Turkmenistan,52,Female,69590,44,11,256,43,92874,995,100,1000,5000,500,50000,1
2260,Linda,Donovan,French Southern Territories,35,Female,71787,18,15,133,35,98717,992,100,1000,5000,500,50000,0
8951,Lori,Crawford,Panama,71,Female,135289,42,36,112,22,82272,977,100,1000,5000,500,50000,1
9633,Mark,Meyer,Chile,21,Male,44602,78,25,329,41,97810,992,100,1000,5000,500,50000,1
5677,Parker,Roth,Mexico,62,Female,93664,66,30,119,31,97234,993,100,1000,5000,500,50000,1
8936,Debra,Meza,Ukraine,34,Male,29387,20,8,220,39,93979,998,100,1000,5000,500,50000,0
8251,James,Austin,Trinidad and Tobago,64,Female,58607,41,15,177,43,94615,993,100,1000,5000,500,50000,1
7145,Ashley,Robinson,Azerbaijan,23,Male,113107,62,4,336,21,76303,961,100,1000,5000,500,50000,1
7577,Brandy,Burton,Monaco,38,Male,93114,28,20,235,50,85357,980,100,1000,5000,500,50000,1
8048,Dominic,Johnson,Gabon,67,Female,140945,65,20,97,28,95809,991,100,1000,5000,500,50000,1
6297,Zachary,Hayes,Jordan,49,Female,121590,41,9,307,35,95370,998,100,1000,5000,500,50000,0
1480,Sheila,Leon,Saint Kitts and Nevis,51,Female,141408,55,26,170,44,94368,992,100,1000,5000,500,50000,1
7205,Douglas,Bennett,Palestinian Territory,42,Female,41810,45,6,191,33,92446,999,100,1000,5000,500,50000,0
3761,Amanda,Allen,Switzerland,20,Male,124780,52,19,329,41,97877,992,100,1000,5000,500,50000,1
5378,Charles,Hernandez,Saint Martin,37,Male,117495,35,30,170,42,95743,994,100,1000,5000,500,50000,1
1432,Rachel,Pacheco,Saint Barthelemy,39,Male,109061,72,2,220,27,83305,988,100,1000,5000,500,50000,1
8046,Sean,Newton,Greenland,68,Female,39940,31,26,213,49,87330,984,100,1000,5000,500,50000,1
6055,John,Schmidt,Belarus,30,Female,29349,60,9,104,21,79682,968,100,1000,5000,500,50000,1
4168,Jon,Harper,Angola,63,Male,50702,77,23,365,33,99439,990,100,1000,5000,500,50000,1
7135,Robin,Eaton,Montenegro,64,Male,26989,37,2,300,23,77703,969,100,1000,5000,500,50000,1
6548,Robert,Wagner,Wallis and Futuna,52,Female,43777,64,12,285,42,94274,995,100,1000,5000,500,50000,1
8919,Sarah,Garner,Djibouti,48,Female,115011,7,36,199,38,94521,998,100,1000,5000,500,50000,0
3221,John,Lopez,Turks and Caicos Islands,37,Female,37536,24,6,141,25,84828,987,100,1000,5000,500,50000,1
2266,Laura,Navarro,Reunion,66,Female,77406,30,25,90,26,92748,990,100,1000,5000,500,50000,1
8815,Jason,Myers,American Samoa,32,Female,68083,53,23,358,35,99965,990,100,1000,5000,500,50000,1
8911,Anna,Jones,Greece,79,Female,98887,37,22,336,40,98783,991,100,1000,5000,500,50000,1
9893,Laura,Roman,Martinique,67,Female,26808,17,4,314,26,83493,986,100,1000,5000,500,50000,1
4360,Madison,Hawkins,Japan,48,Female,94834,5,40,278,31,90059,999,100,1000,5000,500,50000,0
4312,Regina,Robinson,San Marino,37,Female,38742,79,24,314,44,95182,992,100,1000,5000,500,50000,1
5518,Kelsey,Valenzuela,Maldives,64,Female,57880,57,14,97,25,89701,989,100,1000,5000,500,50000,1
5573,Jackson,Medina,Mozambique,46,Female,110148,48,22,141,40,98915,991,100,1000,5000,500,50000,1
7658,Andrew,Mcconnell,Tunisia,41,Female,142810,6,15,97,26,91404,990,100,1000,5000,500,50000,0
5244,Sabrina,Ingram,Kyrgyz Republic,27,Male,72598,27,17,97,27,93895,991,100,1000,5000,500,50000,0
6900,Patrick,Schultz,Dominican Republic,61,Female,130063,62,26,112,32,98713,991,100,1000,5000,500,50000,1
6544,Susan,Harper,Solomon Islands,31,Female,99147,70,20,126,36,99929,990,100,1000,5000,500,50000,1
9390,Nicole,Lyons,Hungary,74,Female,109018,27,2,329,19,67564,918,99,999,4997,500,50000,1
1219,James,Jones,Germany,18,Female,41296,58,40,358,18,67791,916,99,999,4997,500,49999,1
9138,Brian,Cox,British Virgin Islands,54,Female,78339,51,18,184,46,91945,991,100,1000,5000,500,50000,1
1528,Nicole,May,Guernsey,45,Female,114050,42,8,256,39,93960,998,100,1000,5000,500,50000,0
5054,Alicia,Navarro,Iran,54,Male,131137,60,15,228,47,89032,988,100,1000,5000,500,50000,1
9815,William,House,Tanzania,46,Male,97046,44,18,271,48,88410,986,100,1000,5000,500,50000,1
2289,Jason,Mills,Ghana,30,Male,108467,24,14,242,46,89782,990,100,1000,5000,500,50000,1
5212,Bradley,Allen,Ukraine,32,Female,87026,58,20,97,28,95809,991,100,1000,5000,500,50000,1
5380,Joshua,Tate,North Macedonia,74,Female,145454,44,24,249,50,85377,980,100,1000,5000,500,50000,1
3348,Trevor,Mills,Somalia,75,Female,61726,49,25,199,48,88827,987,100,1000,5000,500,50000,1
5701,Tracy,Navarro,Philippines,41,Male,39011,10,26,307,44,94166,992,100,1000,5000,500,50000,1
3388,Jeffrey,Alvarez,Andorra,76,Female,53022,78,3,133,18,65970,906,99,999,4996,500,49999,1
8490,April,Martin,Luxembourg,25,Female,126272,44,20,170,45,94072,992,100,1000,5000,500,50000,1
5360,John,Harris,Costa Rica,59,Female,52692,49,5,162,27,86941,993,100,1000,5000,500,50000,1
8104,Paul,Wright,Zimbabwe,69,Female,143538,45,35,112,24,85675,985,100,1000,5000,500,50000,1
2436,Jeffrey,Olson,Ireland,50,Female,84312,45,32,293,42,94639,995,100,1000,5000,500,50000,1
2410,Nicole,Larson,Belgium,52,Female,58642,55,16,104,29,95376,992,100,1000,5000,500,50000,1
5802,Stephanie,Henson,Saudi Arabia,44,Male,85247,63,8,365,22,80589,972,100,1000,5000,500,50000,1
4068,Patrick,Smith,Mauritania,57,Male,144049,23,8,336,29,91159,996,100,1000,5000,500,50000,0
6274,Michelle,Rogers,Cuba,27,Male,116502,62,19,300,46,92702,991,100,1000,5000,500,50000,1
5260,Sonya,Hughes,Libyan Arab Jamahiriya,41,Male,32122,56,20,170,45,94072,992,100,1000,5000,500,50000,1
4314,Carrie,Lindsey,Pakistan,36,Male,96433,10,35,307,36,95679,997,100,1000,5000,500,50000,0
5260,Sonya,Hughes,Libyan Arab Jamahiriya,41,Male,32122,10,1,184,22,73514,952,99,1000,4999,500,50000,1
9629,Daniel,Cordova,Qatar,72,Male,113309,27,22,141,40,98915,991,100,1000,5000,500,50000,1
1945,Melanie,Frank,Mayotte,55,Female,99736,66,33,155,36,96968,995,100,1000,5000,500,50000,1
2436,Jeffrey,Olson,Ireland,50,Female,84312,66,36,307,35,94944,998,100,1000,5000,500,50000,1
3374,Mitchell,Pineda,Jamaica,19,Male,61272,36,39,177,31,90635,998,100,1000,5000,500,50000,0
2410,Nicole,Larson,Belgium,52,Female,58642,37,16,206,47,89912,989,100,1000,5000,500,50000,1
7373,Ronald,Cain,Micronesia,54,Female,108086,6,17,148,40,98181,992,100,1000,5000,500,50000,0
4028,Juan,Mitchell,Tokelau,47,Male,76885,78,32,271,44,92482,994,100,1000,5000,500,50000,1
4542,Terri,Smith,Madagascar,67,Male,108904,10,34,97,21,80873,971,100,1000,5000,500,50000,1
2992,Charles,Stephenson,Angola,70,Female,56332,9,5,199,32,90964,999,100,1000,5000,500,50000,0
5802,Stephanie,Henson,Saudi Arabia,44,Male,85247,49,35,170,36,95694,997,100,1000,5000,500,50000,0
6943,Ronald,Flynn,Sao Tome and Principe,78,Male,116141,49,9,191,38,94947,998,100,1000,5000,500,50000,0
7043,Matthew,Mills,Slovenia,51,Male,34227,16,30,126,33,98106,993,100,1000,5000,500,50000,0
7584,Jonathan,Mullins,Nauru,51,Male,142921,10,26,278,48,89059,987,100,1000,5000,500,50000,1
7944,Christine,Saunders,Bermuda,64,Female,73886,77,38,199,35,93306,999,100,1000,5000,500,50000,1
7885,Scott,Garcia,Mauritania,69,Male,116537,72,34,242,43,92724,995,100,1000,5000,500,50000,1
5796,Mary,Austin,Haiti,54,Female,20160,26,15,220,47,89423,989,100,1000,5000,500,50000,1
4714,Julie,Cline,Monaco,25,Male,55386,41,27,285,47,90692,990,100,1000,5000,500,50000,1
6867,Vanessa,Miller,Nepal,51,Male,99502,13,40,343,21,76084,959,99,1000,5000,500,50000,1
5857,Grant,Macdonald,Philippines,42,Female,128870,21,27,199,47,89740,988,100,1000,5000,500,50000,1
2266,Laura,Navarro,Reunion,66,Female,77406,28,13,133,33,97497,994,100,1000,5000,500,50000,0
8927,Christopher,Turner,Vietnam,67,Female,66833,22,39,307,30,89949,997,100,1000,5000,500,50000,0
1897,Jennifer,Cortez,Nauru,75,Male,111440,45,34,155,35,96375,996,100,1000,5000,500,50000,0
8927,Christopher,Turner,Vietnam,67,Female,66833,72,33,162,38,96715,995,100,1000,5000,500,50000,1
2094,Robert,Mendez,France,57,Male,134146,44,36,358,25,86172,987,100,1000,5000,500,50000,1
1528,Frank,Wallace,Sri Lanka,77,Male,141247,23,19,206,48,88034,985,100,1000,5000,500,50000,1
