customer_id,customer_name,age,income_level,days_since_last_purchase,active_days,total_number_of_purchases,total_amount_spent,avg_amount_spent,days_since_first_purchase,purchase_frequency,last_purchase_amount,seasonal_purchase_behavior,refunds,location,bonus_amount_received
75,Randy Coleman,62,Medium,365,215,253,50000.0,197.62845849802372,657,1.838892517770634,1824.9708367691642,0,2,Rural,30.060000000000002
76,James Velasquez,31,High,1,231,100,64759.30647685907,500.0,49,0.6999434079374007,3549.61557247117,1,4,Urban,27.0
77,Carolyn Brooks,70,High,365,141,4204,33056.460270326534,7.863097114730384,617,0.5320061672169112,2284.2447745332006,0,1,Urban,100.60823013516327
78,Sophia Moore,56,Low,365,150,1122,13473.05223065226,9.271306778160712,910,1.1321527828496654,969.398318159386,1,4,Rural,27.64120310254816
79,Tiffany Moran,52,Low,324,38,864,26544.155811989764,30.722402560173336,362,1.6107591978028581,2134.9497665447007,0,5,Urban,30.552077905994885
80,Jason Garcia,18,High,365,50,2054,21373.0204921999,10.405560122784761,856,1.8306844451544082,2744.6066424773503,0,5,Rural,51.76651024609995
81,Rebecca Hale,58,High,365,129,2046,24167.44709614112,9.119960606181943,912,1.1796485412044175,720.1559533802422,1,0,Rural,50.24971970012413
82,Brian Vaughn,18,Low,365,317,100,12825.657842405351,128.25657842405352,899,1.6337910324669145,2974.577542910125,0,3,Urban,8.412828921202678
83,Melissa Phillips,39,Medium,70,313,3051,12687.551216435408,4.158489418694004,383,1.8272717697188832,1579.2212690001809,0,5,Rural,67.36377560821771
84,Rachel Simmons,18,Medium,365,192,1067,6421.321758994362,6.018108490154042,936,0.7547077932409472,3350.955582779124,0,4,Rural,24.55066087949718
85,Luke Jones,37,Low,365,189,1943,8418.761993637032,3.3453629777423783,710,1.2950211828683593,772.7005994544439,1,4,Suburban,42.11002013287672
86,Courtney Newman,45,Low,352,210,100,1784.5951495933577,17.845951495933576,562,1.1657990512496177,3012.1798476471427,0,5,Suburban,2.892297574796679
87,Steven Allen,39,High,1,296,100,64759.30647685907,500.0,260,1.4349046149187341,2161.6252130433713,1,3,Urban,27.0
88,Gabriela Bright,30,Low,365,272,864,64759.30647685907,57.870370370370374,837,0.6134936229710743,4575.198495270422,1,4,Urban,42.28
89,Jeremy Gonzalez MD,34,Medium,365,34,100,2348.8268275386285,18.13505236021909,429,0.7148716771434642,2607.3709488542677,1,5,Suburban,2.9067526180109544
90,Matthew Stewart,18,Low,1,146,100,16346.438680706784,163.46438680706785,143,1.7246781175337036,3319.2031168591,0,5,Urban,10.173219340353393
91,George Dudley,42,Medium,180,337,2388,48720.387347118085,15.752309101088473,517,1.1919185612495242,2950.3224326886716,1,4,Suburban,66.56825706669963
92,Andrew Arias,29,Low,1,300,1545,28003.795809171184,18.125434180693322,73,0.8144696480841911,4289.751563239868,0,5,Suburban,44.901897904585596
93,Joseph Anderson,50,High,94,293,1539,5120.038313585797,2.5686350608492474,387,1.53175186478397,2564.830660066209,1,0,Rural,32.756564679323496
94,Meredith Ballard,64,Medium,365,90,100,54874.3254282272,423.6790695699919,709,1.7496738275272747,3021.1916098444995,1,1,Urban,23.183953478499596
95,Connie Ferguson,62,Medium,1,296,1669,50000.0,29.958058717795087,20,0.8071742017372376,1159.6128233564473,0,2,Rural,58.38
96,Ryan Martin,20,Low,1,161,100,15671.981034737491,121.0017670613696,52,1.6604092332659268,2050.7322103684687,1,5,Suburban,8.05008835306848
97,Mr. Eric Welch PhD,26,Low,365,336,3481,64759.30647685907,14.363688595231256,953,0.930382166831158,3034.1339478962777,1,2,Suburban,94.62
98,Robin Coleman,40,Low,124,183,100,3392.6677316921014,26.194441511695537,307,0.529662834510607,3492.432613092175,1,5,Suburban,3.309722075584777
99,Dr. Michael Shah,52,High,75,141,1012,3075.053495883871,2.346064663337805,216,1.7263066987017346,4600.091470397512,1,3,Urban,21.42710871964893
100,Megan Weeks,31,Medium,365,62,170,64759.30647685907,294.11764705882354,903,1.1158072355094621,3947.8041317158772,1,0,Rural,28.4
101,Daniel Brooks,36,Low,255,82,100,500000.0,500.0,337,1.9638503034314394,3905.3268531800036,0,0,Urban,27.0
102,Leslie Hawkins,40,Medium,1,193,100,64759.30647685907,500.0,74,1.8593641591543923,3779.674120985914,1,3,Rural,27.0
103,Kara Morales,33,Medium,253,362,962,40683.03632154702,32.651722854242195,615,1.1538005311928703,2707.1841263671204,1,4,Urban,34.9454786928905
104,Mary Miller,38,Medium,47,79,633,50567.13147616724,61.67830401113954,126,1.5309866392490128,2838.0673124431737,1,2,Suburban,32.181183219525664
105,Laura Henry,37,Medium,365,104,2220,20843.47167293492,9.388951204024739,708,0.8917816781559016,80.91284687689398,0,3,Suburban,54.82173583646746
106,Jasmine Ryan,37,Medium,178,208,1781,50000.0,28.07411566535654,386,0.7122924526670844,3942.964644120036,0,3,Urban,60.62
107,Peggy Wong,37,Medium,331,225,2015,56404.54164420066,21.61259121066059,556,1.729869667546891,4760.327702655691,1,2,Suburban,62.07468564474055
108,Stephen Beck,44,Low,1,231,100,1400.2889081900973,10.811487833725282,115,1.896673171148667,4938.879847902357,1,2,Suburban,2.540574391686264
109,Jennifer Sanders,28,Medium,365,347,100,4435.877414266602,34.24895706574396,749,1.49280393832806,2778.1492759592834,1,0,Rural,3.712447853287198
110,Shannon Underwood,18,High,1,207,1080,10895.774341121703,10.088679945483058,21,0.5181293800920246,4532.2912927919115,0,4,Urban,27.047887170560852
111,Raymond Graham,32,Medium,85,315,2143,6492.069859923225,3.0294306392548878,400,1.1652661528884565,2646.3756299878482,0,2,Suburban,46.10603492996161
112,Chelsea Weaver,52,Low,57,300,1580,64759.30647685907,31.645569620253166,357,1.862200066291948,2276.994811883482,1,3,Urban,56.6
113,Holly Bowers,37,High,34,340,1892,6929.256393172812,3.6623976708101544,374,0.7333108402929671,4971.291466804841,0,0,Suburban,41.30462819658641
114,Andrew Murray,20,Low,342,364,100,64759.30647685907,500.0,706,1.6147752987537296,475.81176776386945,1,2,Rural,27.0
115,Ryan Tanner,43,High,1,30,1740,64759.30647685907,28.735632183908045,23,1.906161087743017,3090.9649564630076,1,0,Rural,59.800000000000004
116,Nicholas Armstrong,52,High,365,34,508,21636.90080945366,42.59232442805838,620,0.7858230708670596,2545.4271876111006,0,4,Rural,20.97845040472683
117,Samantha Rodriguez,18,Low,324,207,1881,5861.4637758966255,2.4059417308449715,531,1.3649707295191793,839.3339325519985,1,5,Urban,39.882788197859696
118,Terri Willis,18,Medium,365,269,100,50000.0,500.0,930,1.9355439783055821,3474.419563890241,0,4,Suburban,27.0
119,Ashley Fischer,23,Medium,90,328,2917,50000.0,17.14089818306479,418,1.3023908715061605,1359.4466379348573,0,3,Suburban,83.34
120,Gabriel Jones DDS,22,High,365,139,100,50000.0,500.0,899,1.3396075085972432,952.7923498590479,0,3,Urban,27.0
121,Alejandra Dodson,67,Medium,365,61,100,4492.474205948692,44.92474205948692,570,1.1098995149288613,351.0341001076262,0,2,Urban,4.246237102974346
122,Jeffrey Martin,23,Medium,180,324,1006,9077.059676043167,6.966506154917124,504,0.7355272581795631,1184.4907528672888,1,3,Suburban,23.624152595923313
123,Amber Fields,53,Low,1,44,809,64759.30647685907,61.804697156983934,5,1.2145732287319126,3187.5466839312207,1,0,Rural,41.18
124,Michael James,51,Medium,365,263,2969,274292.85002678,9.238560122154933,662,0.973107105928458,3224.2075916122817,0,5,Rural,73.094642501339
125,Tracey Andrews MD,50,High,1,187,2035,13005.021855374327,4.934174312605326,90,0.6737910477790432,4772.660395898639,1,4,Suburban,45.72052236307592
126,Scott Marks,44,Low,365,33,100,50000.0,500.0,834,0.586218327597517,2577.8671156607147,0,2,Urban,27.0
127,Paula Tucker,28,Low,1,327,2133,40501.81064089304,18.988190642706535,83,0.5815020105538558,3958.1723747891397,0,1,Suburban,62.910905320446524
128,Peter Smith,31,Low,29,86,3642,16263.940456430613,4.465661849651459,115,1.2985037109334907,4700.303314842196,0,3,Suburban,80.97197022821531
129,Stephanie Duran,22,Medium,365,225,100,2827.757259637205,28.277572596372053,598,1.4096612344749126,2305.510863436994,0,1,Rural,3.4138786298186026
130,Laurie Hernandez,25,Medium,49,307,2816,64759.30647685907,17.755681818181817,356,1.2698162104763964,142.40788100403006,1,5,Suburban,81.32
131,Kevin Clark,23,Low,179,142,100,64759.30647685907,500.0,321,1.8531512656299283,2193.229267406832,1,5,Suburban,27.0
132,Ashley Anderson,39,High,74,150,100,10787.192184601365,107.87192184601365,224,1.931100918594661,1207.3485305306133,0,2,Rural,7.393596092300682
133,Hannah Mueller,30,High,365,320,1118,45122.1732535644,31.16133249800035,931,1.9544596013954612,2410.7604009590727,1,4,Suburban,39.779184866382195
134,Jacob Charles,46,Medium,226,271,342,17885.94166578678,52.29807504616018,497,0.8927001891740982,3443.545124308136,0,0,Suburban,15.78297083289339
135,Timothy Medina,57,High,347,320,889,33858.44756439838,29.40580654184633,667,1.7853432186112266,3973.8655343547384,1,3,Suburban,30.850881007850695
136,Travis Reyes,70,Low,163,361,100,9941.595058445977,99.41595058445976,524,1.3208917237919315,1469.6344759381377,0,2,Urban,6.970797529222989
137,Kevin Shah,37,High,365,184,100,64759.30647685907,500.0,969,1.0850758476578,605.579465049425,1,0,Urban,27.0
138,Victoria Davis,18,Low,365,241,1423,17009.072759340303,1.195296750480696,786,0.7560104747988411,2187.3444220970237,0,2,Rural,29.310453637967015
139,Mr. Tom Short,60,Low,365,140,1766,25049.476394735288,10.951554487648128,905,1.42204891653711,1314.4894570069491,1,5,Rural,44.9902226125933
140,Holly Vazquez,37,Low,365,196,2980,17780.942340204092,5.966759174565132,704,0.9582806707964551,4700.0749218699,0,4,Suburban,68.49047117010204
141,Brandon Watson,51,Medium,1,256,100,12688.102982809842,126.88102982809842,24,0.8302004423694165,857.1809461913402,0,5,Rural,8.34405149140492
142,Rachel Weber,21,Medium,338,245,1651,50000.0,30.28467595396729,583,1.9636726399587527,3261.2460921849793,0,0,Suburban,58.02
143,Kathleen Richards,32,Low,1,245,327,64759.30647685907,152.9051987767584,39,1.253918475562931,2919.335791413623,1,0,Rural,31.54
144,Elizabeth Lowery,42,Low,365,131,3863,2502.3530194694904,0.5001401094688323,907,1.7083109272891996,1169.6938649066847,1,0,Urban,78.22602062143905
145,Charles Gonzalez,26,Medium,316,178,955,43132.37128523763,34.871271129387225,494,0.9445008942483848,1290.708867957638,1,1,Urban,35.751031964282404
146,Matthew Wise,58,Low,207,138,100,52807.83281786898,407.72389090314914,345,1.068583314705068,3913.7487839520536,1,0,Rural,22.38619454515746
147,Julie Brown,64,Medium,1,197,1377,50000.0,36.31082062454612,22,1.4885315399635575,2234.5066524990484,0,4,Rural,52.54
148,Connie Rich,44,Medium,76,227,480,50000.0,104.16666666666667,303,1.838325195131695,845.6552368823677,0,3,Rural,34.6
149,Linda Estrada,31,Medium,1,282,100,9429.646815073069,94.29646815073069,165,1.2545394483309629,215.0635860779277,0,2,Suburban,6.714823407536535
150,Rebecca Smith,29,Low,202,106,100,2405.5119449504696,24.055119449504694,308,0.8606575518017296,1179.4100526277023,0,4,Urban,3.202755972475235
151,Mary Hansen,35,High,265,213,100,9495.218503687167,94.95218503687167,478,1.133261332471965,3542.853389485202,0,3,Rural,6.747609251843584
152,Nicole Robbins,34,Medium,365,111,254,1500.8243539664522,4.562091242586069,992,1.2413515053087716,3526.323936380499,1,2,Suburban,5.659385587808431
153,Alexandra Johnson,29,Medium,347,229,709,19085.09009774325,20.783361637118016,576,1.9101632147777328,1094.5742401711775,1,2,Rural,21.54770170035834
154,Mary Hayden,49,Medium,365,323,764,45250.29599335847,59.22813611696135,716,1.5803401283584613,1805.4266173592896,0,3,Rural,37.90514799667924
155,Christopher Sanders,27,Low,202,102,100,47453.045387252314,366.3801233279812,304,1.9905766635935525,748.2729553919845,1,0,Urban,20.31900616639906
156,Kevin Cunningham,38,Medium,365,196,1849,36687.568163878175,19.84184324709474,846,0.5713765699728313,3114.0910365378722,0,0,Suburban,55.323784081939095
157,Victoria Smith,62,High,365,116,291,16571.647732152367,56.94724306581569,602,1.4573734747267288,1870.2331730701112,0,0,Rural,14.105823866076184
158,Barbara Brown,26,Medium,1,134,1721,36192.68266716073,21.030030602650044,15,0.8464798617000879,4465.906913243449,0,1,Urban,52.51634133358037
159,Michael Thompson,40,Medium,287,264,100,7012.283716134801,70.122837161348,551,1.9043334303053667,778.0316053248579,0,4,Rural,5.506141858067401
160,Jesse Morton,31,Low,1,341,1146,13095.560922140168,11.427191031535923,70,1.5339630105014919,1220.6104961918854,0,5,Rural,29.467780461070085
161,Barbara Sullivan,44,Low,365,318,2757,9056.951491206433,3.2850748970643573,972,1.8153981335160962,880.8647941186189,0,5,Suburban,59.66847574560322
162,Andrea Williams,31,Low,365,189,100,36089.76821980669,360.8976821980669,762,1.9459630562337134,4416.57317449727,0,1,Urban,20.044884109903347
163,Thomas Griffin,18,Low,172,290,100,34057.79441861706,262.9567568854925,462,0.6868340854158081,4559.417170741065,1,4,Rural,15.147837844274626
164,Victoria Sexton,29,Low,365,234,1350,64759.30647685907,37.03703703703704,647,1.711842602771045,1218.8004630226044,1,5,Urban,52.0
165,Janet Hunter,27,Low,365,132,778,28681.359015734586,36.8655000202244,731,0.7626942667228285,2506.0215129329486,0,0,Rural,29.900679507867295
166,Blake Ryan,53,Low,240,108,100,64759.30647685907,500.0,348,1.052451009330945,1644.198238082036,1,1,Suburban,27.0
167,Andrew Alexander,36,Medium,365,173,2720,3662.103388441886,1.3463615398683406,838,1.5467323336299086,4720.68761927222,0,5,Urban,56.231051694220945
168,Ms. Kelly Schneider,39,Low,365,110,2587,50000.0,19.327406262079627,897,1.8218935349291612,3636.2160617344225,0,3,Suburban,76.74000000000001
169,Melissa Grimes,40,Medium,235,281,1922,12860.790114099551,6.691358019822867,516,1.058976547311432,2854.8147708739075,0,3,Urban,44.87039505704978
170,Daniel Moss,38,Low,1,319,770,14209.259052841911,14.247823355013178,130,1.0250025253242878,3973.469092562759,1,2,Suburban,20.885411991680073
171,Christina Smith,21,Low,365,299,3061,37394.07779151121,12.216294606831497,981,0.8388033830516846,1896.7054713316463,0,0,Suburban,79.91703889575561
172,Vanessa Garza,18,Medium,1,235,2854,50000.0,17.51927119831815,31,0.9612301835501371,4815.45020966607,0,0,Rural,82.08
173,Gary Sims,18,Low,1,189,1867,3283.712057135987,1.3579649631327597,98,1.7546130299505343,3003.5303222025036,1,4,Urban,38.607660293084436
174,Cory Freeman,24,Medium,365,76,3959,3151.015650061676,0.6145155452743518,542,1.914048501598272,3300.8610523169777,1,3,Urban,80.39643352187059
175,Julia Williams,18,Low,365,261,100,6908.045162434448,69.08045162434448,743,0.7811384344608103,1610.3506857358518,0,3,Rural,5.454022581217224
176,Michelle Miller,42,Low,1,282,2721,35443.49527947835,13.025907857213655,125,1.9475637782648967,2870.9306138711054,0,1,Suburban,72.14174763973918
177,Diane Knight,70,Low,207,118,100,3593.363257068265,27.743991192619614,325,1.7147758409357952,3622.7085270149296,1,2,Urban,3.3871995596309805
178,Rachel Reyes,33,High,1,300,1480,50000.0,33.78378378378378,195,0.8947057320077421,4790.105608912088,0,1,Rural,54.6
179,Michael Stark,18,Low,365,98,1847,64759.30647685907,27.070925825663238,883,1.2662959339941882,4821.173098284158,1,0,Urban,61.94
180,Amber Lowe,40,Low,365,231,100,64759.30647685907,500.0,853,1.686774369378779,1750.7401220756115,1,1,Suburban,27.0
181,Joshua Walker,20,Low,317,256,2081,64759.30647685907,24.02691013935608,573,0.9589396993759043,843.7520832471325,1,0,Rural,66.62
182,Chris Ford,51,High,365,79,3509,19276.67846402485,5.4934962849885585,517,0.5571588640353089,4335.948296822525,0,4,Urban,79.81833923201243
183,David Schmidt,40,Medium,293,210,100,50000.0,500.0,503,0.681371250090457,1372.7705917887574,0,1,Suburban,27.0
184,Crystal Jackson,19,High,1,55,304,3454.6593731952644,8.774037056818885,47,1.3899477971972956,2851.3264344429967,1,2,Rural,7.41365363263647
185,Kristine Kerr,50,Low,38,158,2544,22178.148103684278,8.717825512454512,196,1.2001002355185626,1097.7482961263413,0,2,Rural,61.96907405184214
186,Renee Brady,36,Medium,21,313,100,25866.34775766692,258.6634775766692,334,1.0306383990378452,4729.617430044165,0,2,Urban,14.933173878833461
187,Donna Golden,37,Low,1,71,1603,50000.0,31.191515907673114,26,1.3004185449938055,212.85487210667057,0,4,Urban,57.06
188,Mrs. Nicole Cabrera,32,Medium,1,313,811,25947.723583654908,31.994726983544894,31,0.8080850056848488,4047.431188983269,0,5,Suburban,29.19386179182745
189,James Blackwell MD,70,Low,365,138,100,40264.93222350687,310.8814347625468,524,1.8425309981265294,3189.3893822642945,1,5,Suburban,17.544071738127343
190,Michelle Jones,38,Low,57,90,744,8137.749422129107,10.937835244797187,147,1.6029370103979064,2399.0118745391906,0,1,Urban,18.948874711064555
